"V1";"V2";"V3";"V4";"V5";"V6";"V7";"Enota";"Kategorija"
"315";"Rozine";"246";"21,0";"1,1";"0";"0,0";"64,4";"100g";"sadje"
"321";"Fige";"213";"17,0";"3,6";"0";"0,0";"52,9";"100g";"sadje"
"331";"Slive";"161";"23,0";"2,4";"0";"0,0";"40,1";"100g";"sadje"
"341";"?ipek, mleti";"170";"10,0";"4,5";"1,5";"0,0";"79,2";"100g";"sadje"
"351";"Ara?idi, pra?eni";"570";"4,0";"24,3";"49";"0,0";"8,6";"100g";"sadje"
"361";"Ara?idi, surovi";"570";"4,0";"24,3";"49";"0,0";"8,6";"100g";"sadje"
"371";"Le?nik, suhi";"701";"6,0";"14,0";"69";"0,0";"6";"100g";"sadje"
"381";"Mandelj, suhi";"565";"5,0";"16,9";"53,5";"0,0";"4,3";"100g";"sadje"
"391";"Orehi, suhi";"648";"5,0";"15,8";"61,4";"0,0";"8,8";"100g";"sadje"
"401";"Kokosov oreh";"346";"42,0";"3,2";"36";"0,0";"3,7";"100g";"sadje"
"219";"Pesin sok";"36";"90,0";"1,0";"0";"0,0";"8";"100g";"pijaca"
"316";"Paradi?nikov sok";"20";"94,0";"1,0";"0";"0,0";"4";"100g";"pijaca"
"46";"Ananasov, konzer., sok.";"53";"86,0";"0,4";"0,1";"0,0";"13,4";"100g";"pijaca"
"56";"Borovnicev sok";"45";"87,0";"0,1";"0";"0,0";"11,1";"100g";"pijaca"
"66";"Breskov sok";"48";"87,0";"0,3";"0";"0,0";"11,7";"100g";"pijaca"
"76";"Pomarancni, sve?i sok";"45";"88,0";"0,7";"0,2";"0,0";"10,4";"100g";"pijaca"
"86";"Pomarancni, sladkani sok";"51";"96,0";"0,7";"0,1";"0,0";"12,8";"100g";"pijaca"
"96";"Pivo";"43";"92,0";"0,3";"0";"0,0";"3,6";"100g";"pijaca"
"106";"Vino, belo, 12 % alk.";"85";"88,0";"0,1";"0";"0,0";"3,4";"100g";"pijaca"
"116";"Vino, rdece, 12 % alk.";"80";"87,0";"0,2";"0";"0,0";"2,5";"100g";"pijaca"
"126";"Vino, desertno, sladko";"151";"76,0";"0,1";"0";"0,0";"11,4";"100g";"pijaca"
